YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,3,27,5.26,5.73,0.58,323.1,101.0,-999.0,-999.0,-999.0,-999.0,3.01,13.7,8.56,11.13,14.9,3.4,15.11,11.71,6.96,71.75,1.79,100.98,3.84,6.55,81.94,4.7,7.27,83.19
1990,3,28,5.04,5.12,0.55,321.4,97.5,-999.0,-999.0,-999.0,-999.0,2.55,14.51,8.62,11.56,15.75,8.48,18.87,10.39,6.9,69.5,0.05,101.28,3.35,2.99,73.5,4.34,4.14,73.62
1990,3,29,6.05,6.2,0.66,326.5,118.1,-999.0,-999.0,-999.0,-999.0,3.25,14.4,7.93,11.16,15.48,8.23,18.53,10.3,6.59,67.38,0.0,101.48,4.27,2.88,99.88,5.58,3.84,100.62
1990,3,30,3.97,6.58,0.43,359.6,81.0,-999.0,-999.0,-999.0,-999.0,4.59,15.8,9.59,12.69,16.51,8.3,20.0,11.69,7.39,67.56,0.03,101.5,5.98,4.34,95.44,7.59,4.97,95.69
1990,3,31,3.37,6.63,0.36,363.2,69.9,-999.0,-999.0,-999.0,-999.0,5.59,15.33,11.12,13.23,15.94,4.84,18.02,13.18,8.12,76.44,0.82,101.71,7.18,5.62,80.44,9.05,4.27,80.75
1990,4,1,6.13,6.67,0.66,362.7,121.1,-999.0,-999.0,-999.0,-999.0,4.6,14.92,11.4,13.16,15.6,5.63,18.21,12.58,8.3,80.31,0.02,101.59,5.92,3.45,82.56,7.72,1.48,82.75
1990,4,2,4.6,6.55,0.48,355.7,92.9,-999.0,-999.0,-999.0,-999.0,2.94,16.39,13.04,14.72,17.51,6.44,20.26,13.83,9.28,81.31,2.38,100.84,3.76,4.04,66.12,4.95,5.88,66.12
1990,4,3,6.56,6.68,0.7,341.0,128.3,-999.0,-999.0,-999.0,-999.0,1.29,17.03,11.59,14.31,18.05,9.55,21.84,12.29,8.54,72.88,0.85,100.57,1.78,3.24,130.56,2.44,3.48,147.19
1990,4,4,6.43,6.4,0.67,321.0,122.6,-999.0,-999.0,-999.0,-999.0,2.84,16.69,12.44,14.56,17.83,9.27,21.56,12.3,9.03,77.75,0.1,100.86,3.7,3.97,96.19,4.79,5.3,94.75
1990,4,5,6.17,6.08,0.64,351.2,119.7,-999.0,-999.0,-999.0,-999.0,3.67,18.03,13.39,15.71,18.62,12.62,25.14,12.51,9.58,77.0,0.16,100.72,4.81,5.37,123.88,6.3,6.25,125.19
1990,4,6,5.74,6.1,0.59,379.6,111.5,-999.0,-999.0,-999.0,-999.0,3.65,21.4,9.65,15.52,21.01,15.7,30.13,14.44,7.75,54.81,0.0,99.84,4.96,5.66,200.25,7.39,9.96,200.62
1990,4,7,4.83,6.93,0.5,380.6,97.8,-999.0,-999.0,-999.0,-999.0,2.98,19.38,12.37,15.87,20.06,10.08,25.37,15.29,9.03,65.56,0.13,100.54,3.92,5.73,125.5,5.02,6.52,126.69
1990,4,8,4.76,6.38,0.49,380.7,94.5,-999.0,-999.0,-999.0,-999.0,1.7,21.4,13.71,17.55,21.51,11.26,27.53,16.27,9.77,64.0,0.04,100.42,2.46,2.6,214.5,3.75,5.28,216.5
1990,4,9,6.14,6.22,0.62,375.4,121.6,-999.0,-999.0,-999.0,-999.0,5.39,21.08,11.44,16.26,20.62,9.49,25.66,16.17,8.61,55.75,0.03,99.9,7.18,7.32,246.81,10.39,7.94,246.94
1990,4,10,6.72,7.05,0.68,342.0,128.7,-999.0,-999.0,-999.0,-999.0,4.77,18.14,6.48,12.31,18.3,9.61,23.16,13.55,6.1,48.81,0.01,99.86,6.3,5.57,241.12,8.78,4.88,241.19
1990,4,11,6.02,6.28,0.61,356.6,117.4,-999.0,-999.0,-999.0,-999.0,2.52,16.06,7.33,11.69,17.73,9.29,20.3,11.0,6.41,58.31,0.93,100.61,3.33,3.3,174.5,4.8,4.84,173.44
